overall_rank,team_id,team,conference,scheduled_games,score_model_rating,fpi,fpi_rank,fpi_projected_wins,consensus_rating,average_opponent_rating,expected_regular_wins,expected_regular_points,conference_title_game_probability,conference_title_probability,expected_conference_title_points,playoff_probability,expected_playoff_wins,expected_playoff_points,expected_postseason_points,expected_points_before_playoff,national_title_probability,expected_fantasy_points,median_fantasy_points,p10_fantasy_points,p90_fantasy_points,schedule_difficulty_rank,pre_playoff_rank,playoff_rank_lift,playoff_value_share
111,164,Rutgers,Big Ten,12,1502.6841266592369,-0.153,67,5.134,1498.47,1549.6583333333335,5.011802018301033,5.011802018301033,0.00075,5e-05,5e-05,0.00035,0.0,0.0,5e-05,5.011852018301033,0.0,5.011852018301033,5.0,3.0,7.0,39,111,0,0.0
112,41,UConn,FBS Indep.,12,1543.9933939216007,-11.163,114,4.789,1388.37,1445.2275,5.004539939327643,5.004539939327643,0.0,0.0,0.0,0.0005,0.0001,0.0001,0.0001,5.004539939327643,0.0,5.004639939327642,5.0,3.0,7.0,93,112,0,1.9981457449950872e-05
113,189,Bowling Green,MAC,12,1465.9437628664605,-13.682,123,4.668,1363.18,1427.2800000000004,4.958034654102836,4.958034654102836,0.04015,0.0148,0.0148,0.0007,0.0001,0.0001,0.0149,4.9728346541028365,0.0,4.972934654102836,5.0,3.0,7.0,107,113,0,2.0108850599413504e-05
114,2199,Eastern Michigan,MAC,12,1450.9222924246512,-16.316,131,4.759,1336.84,1411.7,4.663648794356668,4.663648794356668,0.02225,0.00675,0.00675,0.00035,5e-05,5e-05,0.0068,4.670398794356668,0.0,4.670448794356668,5.0,3.0,7.0,127,114,0,1.0705609289714366e-05
115,96,Kentucky,SEC,12,1499.9290973872783,5.366,40,4.615,1553.66,1611.131666666667,4.6665819770982155,4.6665819770982155,0.00095,0.0,0.0,0.00115,0.00045,0.00045,0.00045,4.6665819770982155,0.0,4.667031977098215,5.0,3.0,7.0,3,115,0,9.642102351306216e-05
116,344,Mississippi State,SEC,12,1464.1763612631216,4.082,49,4.617,1540.82,1601.7558333333334,4.659165474119966,4.659165474119966,0.00135,0.0003,0.0003,0.001,0.0005,0.0005,0.0007999999999999999,4.659465474119966,0.0,4.659965474119966,5.0,3.0,7.0,12,116,0,0.00010729693230064648
117,127,Michigan State,Big Ten,12,1460.6065885533585,0.281,65,4.635,1502.81,1566.1000000000001,4.618506170959805,4.618506170959805,0.0014,0.00015,0.00015,0.00055,0.00025,0.00025,0.00039999999999999996,4.618656170959805,0.0,4.618906170959805,5.0,2.0,7.0,28,117,0,5.412536880957038e-05
118,2393,Middle Tennessee,CUSA,12,1410.641569713654,-16.066,130,4.7,1339.34,1411.415,4.5976867805401245,4.5976867805401245,0.04135,0.01415,0.01415,0.00105,5e-05,5e-05,0.014199999999999999,4.611836780540124,0.0,4.611886780540124,5.0,2.0,7.0,130,118,0,1.0841549755942669e-05
119,183,Syracuse,ACC,12,1466.1897194786218,-0.808,70,4.809,1491.92,1554.2008333333335,4.606578812070368,4.606578812070368,0.006,0.00115,0.00115,0.002,0.0006,0.0006,0.0017499999999999998,4.607728812070368,0.0,4.6083288120703685,5.0,2.0,7.0,34,119,0,0.00013019904274808895
120,204,Oregon State,Pac-12,11,1435.6992532171582,-8.101,98,4.375,1418.99,1482.8354545454547,4.555105222599854,4.555105222599854,0.0625,0.0191,0.0191,0.0003,0.0,0.0,0.0191,4.574205222599854,0.0,4.574205222599854,5.0,2.0,7.0,71,120,0,0.0
