overall_rank,team_id,team,conference,scheduled_games,score_model_rating,fpi,fpi_rank,fpi_projected_wins,consensus_rating,average_opponent_rating,expected_regular_wins,expected_regular_points,conference_title_game_probability,conference_title_probability,expected_conference_title_points,playoff_probability,expected_playoff_wins,expected_playoff_points,expected_postseason_points,expected_points_before_playoff,national_title_probability,expected_fantasy_points,median_fantasy_points,p10_fantasy_points,p90_fantasy_points,schedule_difficulty_rank,pre_playoff_rank,playoff_rank_lift,playoff_value_share
28,2711,Western Michigan,MAC,12,1551.3073507578426,-4.037,82,7.743,1459.63,1419.3200000000004,7.579213535428039,7.579213535428039,0.42485,0.2399,0.2399,0.07605,0.0151,0.0151,0.255,7.819113535428039,5e-05,7.83421353542804,8.0,5.0,10.0,117,27,-1,0.0019274429949751144
29,258,Virginia,ACC,12,1557.6519254022755,7.895,32,7.726,1578.95,1526.7441666666664,7.731545426090148,7.731545426090148,0.14335,0.04305,0.04305,0.10795,0.05245,0.05245,0.0955,7.774595426090148,0.0005,7.827045426090148,8.0,5.0,10.0,65,29,0,0.00670112375037031
30,2294,Iowa,Big Ten,12,1610.0527087829255,10.569,25,7.646,1605.69,1545.885833333333,7.682935265497229,7.682935265497229,0.0374,0.00825,0.00825,0.0825,0.05145,0.05145,0.0597,7.6911852654972295,0.00105,7.7426352654972295,8.0,6.0,10.0,46,31,1,0.006645024366480461
31,167,New Mexico,Mountain West,12,1523.3743793371852,-3.531,81,7.656,1464.69,1427.195,7.536623999299547,7.536623999299547,0.33545,0.15745,0.15745,0.0699,0.01535,0.01535,0.1728,7.694073999299547,5e-05,7.709423999299546,8.0,5.0,10.0,108,30,-1,0.001991069631323255
32,97,Louisville,ACC,12,1596.2383813782105,9.454,27,7.622,1594.54,1546.2408333333335,7.511935331493032,7.511935331493032,0.18525,0.0618,0.0618,0.1163,0.0621,0.0621,0.12390000000000001,7.573735331493032,0.0013,7.635835331493032,8.0,5.0,10.0,45,32,0,0.008132705500323776
33,201,Oklahoma,SEC,12,1594.932344196331,17.782,12,7.518,1677.82,1608.68,7.467411117196767,7.467411117196767,0.08245,0.0322,0.0322,0.12195,0.116,0.116,0.1482,7.499611117196767,0.00565,7.615611117196766,8.0,5.0,10.0,4,34,1,0.015231870195953295
34,21,San Diego State,Pac-12,11,1529.6652344372585,1.426,59,7.517,1514.26,1460.4863636363639,7.239842921182333,7.239842921182333,0.5121,0.2656,0.2656,0.07245,0.0221,0.0221,0.2877,7.5054429211823335,5e-05,7.5275429211823335,7.0,5.0,10.0,77,33,-1,0.0029358849536162868
35,2335,Liberty,CUSA,12,1499.0926880668944,-7.748,96,7.385,1422.52,1391.7875000000001,7.271582558854431,7.271582558854431,0.34775,0.1725,0.1725,0.04955,0.0076,0.0076,0.18009999999999998,7.444082558854431,0.0,7.451682558854431,7.0,5.0,10.0,138,35,0,0.0010199038861323114
36,248,Houston,Big 12,12,1538.532344775118,7.12,35,7.397,1571.2,1527.375,7.341605534280052,7.341605534280052,0.10245,0.03545,0.03545,0.07915,0.0365,0.0365,0.07195,7.377055534280052,0.0005,7.413555534280052,7.0,5.0,10.0,63,36,0,0.004923413580868873
37,2633,Tennessee,SEC,12,1587.4373459150963,15.058,16,7.336,1650.58,1599.7475000000002,7.314700465643054,7.314700465643054,0.0596,0.0211,0.0211,0.0934,0.0771,0.0771,0.09820000000000001,7.335800465643054,0.00345,7.4129004656430535,7.0,5.0,10.0,13,37,0,0.010400787162506671
38,145,Ole Miss,SEC,12,1666.9914353966446,16.029,14,7.311,1660.29,1608.5566666666664,7.270621052758491,7.270621052758491,0.0605,0.02185,0.02185,0.0901,0.07745,0.07745,0.0993,7.292471052758491,0.0027,7.369921052758491,7.0,5.0,9.0,5,39,1,0.01050893211006802
39,12,Arizona,Big 12,12,1564.5953347049765,7.155,34,7.283,1571.55,1531.5591666666667,7.302121603394427,7.302121603394427,0.1036,0.03345,0.03345,0.07295,0.03345,0.03345,0.0669,7.335571603394428,0.00045,7.369021603394428,7.0,5.0,10.0,58,38,-1,0.004539272891341744
40,295,Old Dominion,Sun Belt,12,1575.1700840284366,-4.435,85,7.262,1455.65,1432.875,7.127035665158081,7.127035665158081,0.29265,0.1609,0.1609,0.05735,0.0111,0.0111,0.172,7.287935665158081,0.0,7.2990356651580806,7.0,5.0,10.0,101,40,0,0.0015207488371355422
41,193,Miami (OH),MAC,12,1532.8248653290132,-6.994,94,7.16,1430.06,1410.0133333333333,7.074861638747099,7.074861638747099,0.2934,0.138,0.138,0.03355,0.00545,0.00545,0.14345000000000002,7.212861638747099,0.0,7.218311638747099,7.0,5.0,10.0,131,41,0,0.0007550242041012752
42,98,Western Kentucky,CUSA,12,1545.7639015733887,-4.859,86,7.148,1451.41,1449.016666666667,6.939185482184772,6.939185482184772,0.45395,0.2676,0.2676,0.03025,0.0058,0.0058,0.2734,7.206785482184772,0.0,7.212585482184772,7.0,5.0,10.0,86,42,0,0.000804149914663211
43,221,Pittsburgh,ACC,12,1546.0551656100502,6.616,36,7.111,1566.16,1537.1808333333336,7.125969700782615,7.125969700782615,0.0663,0.0229,0.0229,0.05135,0.0252,0.0252,0.048100000000000004,7.1488697007826145,0.00015,7.174069700782614,7.0,5.0,9.0,54,45,2,0.0035126505667000905
44,278,Fresno State,Pac-12,12,1551.7055472880843,-2.498,77,6.211,1475.02,1453.1833333333334,7.040037084654803,7.040037084654803,0.29905,0.12545,0.12545,0.03625,0.00815,0.00815,0.1336,7.165487084654803,5e-05,7.1736370846548025,7.0,5.0,10.0,82,44,0,0.0011361043085708566
45,195,Ohio,MAC,12,1588.7078924763357,-7.957,97,7.132,1420.43,1402.7591666666667,7.055889851056345,7.055889851056345,0.2518,0.112,0.112,0.03475,0.00525,0.00525,0.11725000000000001,7.167889851056345,0.0,7.173139851056345,7.0,5.0,10.0,134,43,-2,0.0007318970644670847
46,2005,Air Force,Mountain West,12,1486.3948569085912,-6.842,93,7.16,1431.58,1414.1916666666666,7.052517106645637,7.052517106645637,0.2269,0.0904,0.0904,0.041,0.0084,0.0084,0.0988,7.142917106645637,5e-05,7.151317106645637,7.0,5.0,10.0,124,46,0,0.001174608799292927
47,55,Jacksonville State,CUSA,12,1546.7627328755677,-8.463,101,6.997,1415.37,1397.136666666667,6.963761204548134,6.963761204548134,0.28885,0.137,0.137,0.03475,0.00565,0.00565,0.14265,7.100761204548133,0.0,7.106411204548134,7.0,5.0,10.0,136,47,0,0.0007950567223557196
48,235,Memphis,American,12,1566.8902681126397,-1.917,74,6.998,1480.83,1456.2041666666667,6.984643562343682,6.984643562343682,0.15845,0.07915,0.07915,0.0496,0.0124,0.0124,0.09154999999999999,7.063793562343682,5e-05,7.076193562343683,7.0,5.0,10.0,80,48,0,0.001752354552027409
49,259,Virginia Tech,ACC,12,1460.6798708094761,7.384,33,7.017,1573.84,1542.9416666666666,6.985503581640779,6.985503581640779,0.07045,0.02365,0.02365,0.0513,0.02465,0.02465,0.048299999999999996,7.009153581640779,0.0002,7.033803581640779,7.0,5.0,9.0,47,49,0,0.0035045050254658774
50,264,Washington,Big Ten,12,1600.9248893802032,9.893,26,7.026,1598.93,1568.9399999999998,6.991236401663769,6.991236401663769,0.0189,0.00505,0.00505,0.04615,0.0263,0.0263,0.03135,6.9962864016637685,0.00045,7.0225864016637685,7.0,5.0,9.0,25,50,0,0.0037450589420685645
51,2306,Kansas State,Big 12,12,1567.7677608091935,5.057,41,7.036,1550.57,1527.2591666666667,6.964245909495737,6.964245909495737,0.07425,0.02145,0.02145,0.05145,0.02125,0.02125,0.0427,6.985695909495737,0.00015,7.006945909495737,7.0,5.0,9.0,64,51,0,0.0030327050150625867
52,309,Louisiana,Sun Belt,12,1513.5197651086505,-8.278,99,6.875,1417.22,1411.4358333333332,6.858999660434913,6.858999660434913,0.2034,0.0873,0.0873,0.02055,0.00235,0.00235,0.08965000000000001,6.946299660434913,0.0,6.948649660434913,7.0,5.0,10.0,129,52,0,0.00033819520552039385
53,48,Delaware,CUSA,12,1495.7661912110939,-6.555,91,6.862,1434.45,1429.25,6.706451590467088,6.706451590467088,0.33265,0.1781,0.1781,0.02575,0.0044,0.0044,0.1825,6.884551590467088,0.0,6.888951590467088,7.0,4.0,10.0,103,53,0,0.0006387038640377018
54,2572,Southern Miss,Sun Belt,12,1450.780719323985,-5.053,87,6.939,1449.47,1439.585,6.741778159177761,6.741778159177761,0.2368,0.1283,0.1283,0.0337,0.00685,0.00685,0.13515,6.870078159177761,0.0,6.876928159177761,7.0,4.0,10.0,97,54,0,0.0009960842750491986
55,2628,TCU,Big 12,12,1591.0704161911883,6.366,38,6.814,1563.66,1546.7924999999998,6.791847504625844,6.791847504625844,0.0662,0.0227,0.0227,0.04935,0.02295,0.02295,0.04565,6.814547504625844,0.0002,6.837497504625844,7.0,5.0,9.0,44,55,0,0.0033564911701208515
56,158,Nebraska,Big Ten,12,1513.0404089395065,8.842,30,6.736,1588.42,1565.318333333333,6.738766789885486,6.738766789885486,0.01095,0.0021,0.0021,0.02795,0.0152,0.0152,0.0173,6.740866789885486,0.0002,6.7560667898854865,7.0,5.0,9.0,29,57,1,0.002249829741582178
57,356,Illinois,Big Ten,12,1569.0792165945938,6.315,39,6.681,1563.15,1548.9341666666667,6.744423610014919,6.744423610014919,0.01215,0.0028,0.0028,0.01815,0.00815,0.00815,0.01095,6.7472236100149185,0.0002,6.755373610014918,7.0,5.0,9.0,40,56,-1,0.0012064469665922742
58,57,Florida,SEC,12,1518.3936958593818,13.575,18,6.732,1635.75,1607.3799999999999,6.693370038628711,6.693370038628711,0.0303,0.00965,0.00965,0.0454,0.03595,0.03595,0.0456,6.70302003862871,0.00125,6.73897003862871,7.0,4.0,9.0,6,58,0,0.005334643097376843
59,52,Florida State,ACC,12,1499.413404006198,9.319,28,6.701,1593.19,1570.3199999999997,6.675648969472221,6.675648969472221,0.0645,0.02515,0.02515,0.0491,0.0273,0.0273,0.05245,6.700798969472221,0.00025,6.728098969472222,7.0,4.0,9.0,23,59,0,0.0040576097533448615
60,2449,North Dakota State,Mountain West,12,1493.2620017636632,-8.324,100,6.578,1416.76,1412.3008333333335,6.610867139939102,6.610867139939102,0.15775,0.0564,0.0564,0.02025,0.0031,0.0031,0.0595,6.667267139939102,0.0,6.670367139939102,7.0,4.0,9.0,126,60,0,0.00046474203517803695
61,152,NC State,ACC,12,1553.8454510916579,3.719,51,6.673,1537.19,1524.545833333333,6.64352702312755,6.64352702312755,0.0549,0.01205,0.01205,0.02675,0.0096,0.0096,0.02165,6.655577023127551,0.0001,6.6651770231275504,7.0,4.0,9.0,66,61,0,0.0014403218349173447
62,239,Baylor,Big 12,12,1506.742602284211,6.518,37,6.585,1565.18,1547.7633333333333,6.613841005782323,6.613841005782323,0.0596,0.02,0.02,0.03825,0.01815,0.01815,0.03815,6.6338410057823225,0.0002,6.651991005782323,7.0,4.0,9.0,41,63,1,0.002728506395186478
63,2653,Troy,Sun Belt,12,1525.553590535352,-7.359,95,6.572,1426.41,1424.581666666667,6.566273376786167,6.566273376786167,0.16535,0.07695,0.07695,0.0183,0.00285,0.00285,0.07980000000000001,6.6432233767861675,0.0,6.646073376786167,7.0,4.0,9.0,112,62,-1,0.00042882463650712366
64,142,Missouri,SEC,12,1578.148822266773,12.18,21,6.695,1621.8,1602.8191666666664,6.604928956519391,6.604928956519391,0.0238,0.00675,0.00675,0.033,0.02295,0.02295,0.0297,6.611678956519391,0.0006,6.634628956519391,7.0,4.0,9.0,9,64,0,0.003459123358729598
65,16,Sacramento State,MAC,12,1485.151296309294,-10.422,111,6.685,1395.78,1395.0558333333336,6.536299728433759,6.536299728433759,0.1722,0.0692,0.0692,0.01665,0.00175,0.00175,0.07095,6.6054997284337595,0.0,6.60724972843376,7.0,4.0,9.0,137,65,0,0.00026486058071469856
66,276,Marshall,Sun Belt,12,1530.0999754001216,-8.786,104,6.5,1412.14,1416.9683333333332,6.50936310482704,6.50936310482704,0.1434,0.0622,0.0622,0.0156,0.003,0.003,0.0652,6.57156310482704,0.0,6.57456310482704,7.0,4.0,9.0,122,66,0,0.0004563040847227403
67,2084,Buffalo,MAC,12,1483.6091915407774,-10.782,113,6.641,1392.18,1414.7291666666667,6.5162254715065275,6.5162254715065275,0.12955,0.0529,0.0529,0.01315,0.0013,0.0013,0.054200000000000005,6.569125471506528,0.0,6.570425471506527,7.0,4.0,9.0,123,67,0,0.00019785628885642378
68,338,Kennesaw State,CUSA,12,1503.6964305644092,-9.012,106,6.466,1409.88,1417.2766666666669,6.453976204134605,6.453976204134605,0.2274,0.1063,0.1063,0.0175,0.0032,0.0032,0.1095,6.560276204134605,0.0,6.563476204134605,6.5,4.0,9.0,121,68,0,0.00048754652267714294
69,2,Auburn,SEC,12,1512.1218301935126,12.007,22,6.6,1620.07,1602.9899999999998,6.511046669830302,6.511046669830302,0.0216,0.00725,0.00725,0.0327,0.02575,0.02575,0.033,6.518296669830302,0.00075,6.544046669830302,7.0,4.0,9.0,8,69,0,0.003934874138155824
70,2636,UTSA,American,12,1554.2419530113443,-5.31,88,6.438,1446.9,1458.6416666666667,6.453728237988348,6.453728237988348,0.10635,0.04315,0.04315,0.01545,0.0031,0.0031,0.04625,6.496878237988348,0.0,6.499978237988348,7.0,4.0,9.0,78,70,0,0.0004769246736677393
71,275,Wisconsin,Big Ten,12,1487.2990174705944,4.818,43,6.508,1548.18,1539.2616666666663,6.481729145967605,6.481729145967605,0.01515,0.00265,0.00265,0.0132,0.00545,0.00545,0.0081,6.484379145967605,0.0,6.4898291459676045,6.0,4.0,9.0,52,71,0,0.0008397755745829314
72,349,Army,American,12,1561.2074942093564,-5.63,89,6.445,1443.7,1445.3775000000003,6.426100856822648,6.426100856822648,0.0885,0.0372,0.0372,0.0233,0.0047,0.0047,0.0419,6.463300856822649,0.0,6.468000856822648,6.0,4.0,9.0,92,72,0,0.000726654201822236
73,2579,South Carolina,SEC,12,1522.7343019903049,11.692,23,6.443,1616.92,1596.4616666666664,6.407790628473289,6.407790628473289,0.01935,0.00635,0.00635,0.02495,0.01725,0.01725,0.023600000000000003,6.414140628473289,0.0005,6.431390628473289,6.0,4.0,9.0,14,73,0,0.002682157094241822
74,2132,Cincinnati,Big 12,12,1514.9892970348594,4.406,46,6.381,1544.06,1541.7183333333332,6.3703185259908,6.3703185259908,0.03535,0.01115,0.01115,0.0266,0.0116,0.0116,0.02275,6.3814685259908,5e-05,6.3930685259908,6.0,4.0,9.0,50,74,0,0.001814465143434737
75,2032,Arkansas State,Sun Belt,12,1502.3705877211905,-9.153,107,6.232,1408.47,1419.239166666667,6.180832688964376,6.180832688964376,0.1243,0.0522,0.0522,0.0092,0.00175,0.00175,0.053950000000000005,6.233032688964376,0.0,6.234782688964376,6.0,4.0,9.0,118,75,0,0.00028068339945472624
76,238,Vanderbilt,SEC,12,1585.6541219990643,8.986,29,6.181,1589.8600000000001,1589.7,6.202914262429807,6.202914262429807,0.01475,0.00385,0.00385,0.0183,0.0115,0.0115,0.015349999999999999,6.2067642624298065,0.0004,6.218264262429806,6.0,4.0,8.0,16,77,1,0.0018493906843879194
77,154,Wake Forest,ACC,12,1529.92544671913,3.379,53,6.267,1533.79,1530.424166666667,6.205652980655072,6.205652980655072,0.0249,0.0068,0.0068,0.0146,0.0057,0.0057,0.0125,6.212452980655073,0.0,6.218152980655073,6.0,4.0,8.0,60,76,-1,0.0009166709178325031
78,249,North Texas,American,12,1582.7108222118402,-6.401,90,6.198,1435.99,1456.8400000000001,6.127647166382169,6.127647166382169,0.0808,0.02965,0.02965,0.0076,0.001,0.001,0.03065,6.157297166382169,0.0,6.1582971663821695,6.0,4.0,8.0,79,78,0,0.00016238255040028744
79,265,Washington State,Pac-12,12,1539.0144373980902,-4.054,83,5.12,1459.46,1486.371666666667,6.050244246130571,6.050244246130571,0.18905,0.0756,0.0756,0.0123,0.0028,0.0028,0.0784,6.125844246130571,0.0,6.128644246130571,6.0,4.0,9.0,69,79,0,0.0004568710284934274
80,2026,App State,Sun Belt,12,1480.6685689636797,-9.767,109,6.089,1402.33,1418.7666666666664,6.035320461061073,6.035320461061073,0.1017,0.0424,0.0424,0.00935,0.00095,0.00095,0.04335,6.077720461061073,0.0,6.078670461061073,6.0,4.0,8.0,119,80,0,0.00015628417531194332
81,2116,UCF,Big 12,12,1489.4003982770075,2.116,57,6.147,1521.16,1528.3225,6.034489737616941,6.034489737616941,0.0275,0.006,0.006,0.0128,0.00565,0.00565,0.01165,6.040489737616941,0.0,6.046139737616941,6.0,4.0,8.0,62,81,0,0.0009344805520864329
82,38,Colorado,Big 12,12,1467.879019653969,4.546,45,6.008,1545.46,1551.9908333333335,5.950785881579627,5.950785881579627,0.037,0.01185,0.01185,0.02085,0.00895,0.00895,0.0208,5.962635881579627,0.0,5.971585881579626,6.0,4.0,8.0,36,82,0,0.0014987643445952606
83,2305,Kansas,Big 12,12,1510.745862828165,2.759,55,6.036,1527.59,1534.2075000000002,5.947223177361519,5.947223177361519,0.0271,0.00745,0.00745,0.0142,0.00455,0.00455,0.012,5.95467317736152,0.0,5.95922317736152,6.0,4.0,8.0,57,83,0,0.000763522335811316
84,150,Duke,ACC,12,1577.009218105595,3.547,52,5.986,1535.47,1547.415,5.947152426790325,5.947152426790325,0.02515,0.0065,0.0065,0.01215,0.00465,0.00465,0.01115,5.953652426790325,5e-05,5.958302426790325,6.0,4.0,8.0,43,84,0,0.0007804236285644376
85,9,Arizona State,Big 12,12,1555.1781033372504,4.76,44,5.957,1547.6,1564.39,5.884267919767651,5.884267919767651,0.033,0.0101,0.0101,0.0177,0.00855,0.00855,0.01865,5.894367919767651,5e-05,5.902917919767651,6.0,4.0,8.0,30,85,0,0.00144843619989494
86,197,Oklahoma State,Big 12,12,1410.4084082476475,3.345,54,5.999,1533.45,1547.4508333333333,5.853566932186051,5.853566932186051,0.03005,0.0086,0.0086,0.01425,0.0052,0.0052,0.0138,5.862166932186051,5e-05,5.8673669321860515,6.0,4.0,8.0,42,87,1,0.000886257849577271
87,2229,Florida International,CUSA,12,1480.9401267753758,-12.58,119,5.95,1374.2,1399.8225000000002,5.822437322647002,5.822437322647002,0.11305,0.0422,0.0422,0.0049,0.00045,0.00045,0.04265,5.8646373226470025,0.0,5.865087322647002,6.0,3.0,8.0,135,86,-1,7.67252003669927e-05
88,59,Georgia Tech,ACC,12,1549.6876814460006,4.186,48,5.781,1541.86,1564.3583333333333,5.8067577975023426,5.8067577975023426,0.039,0.01105,0.01105,0.0154,0.0059,0.0059,0.01695,5.817807797502343,0.0,5.823707797502342,6.0,4.0,8.0,31,88,0,0.0010131002799505801
89,326,Texas State,Pac-12,11,1544.6395123307489,-4.26,84,5.648,1457.4,1483.590909090909,5.740177195113274,5.740177195113274,0.1741,0.06485,0.06485,0.00375,0.0008,0.0008,0.06565,5.805027195113274,0.0,5.805827195113274,6.0,4.0,8.0,70,89,0,0.00013779259580329133
90,153,North Carolina,ACC,12,1477.8403146974013,4.91,42,5.834,1549.1,1568.1141666666665,5.72791675827701,5.72791675827701,0.02205,0.00625,0.00625,0.0127,0.0058,0.0058,0.01205,5.734166758277009,5e-05,5.739966758277009,6.0,3.0,8.0,27,90,0,0.0010104588134829218
91,328,Utah State,Pac-12,12,1483.5596826880465,-6.707,92,4.713,1432.93,1479.3158333333333,5.665360475545504,5.665360475545504,0.1038,0.03615,0.03615,0.00525,0.00075,0.00075,0.0369,5.701510475545504,0.0,5.702260475545504,6.0,4.0,8.0,73,91,0,0.00013152678717789573
